message_id,raw_text,cleaned_text,sender_name,sender_id,time,date,reactions,links,hashtags,reply_to_message_id
1106523,https://youtu.be/ueKiRf4TmLw,https://youtu.be/ueKiRf 4 TmLw,رادیو صدای اسراییل🇮🇱,channel1395701502,00:02:35,14/07/25,"👍:122,❤:15,😁:15,👎:10,🤔:4,🤬:3,👏:2,🔥:1,👌:1",https://youtu.be/ueKiRf4TmLw,,
1106537,https://youtu.be/q8cxPoX4DW8,https://youtu.be/q 8 cxPoX 4 DW 8,رادیو صدای اسراییل🇮🇱,channel1395701502,02:22:18,14/07/25,"👍:133,👎:5,❤:2,😁:2,🎉:1",https://youtu.be/q8cxPoX4DW8,,
1106552,🔴 فرودگاه استانبول در اقدامی عجیب تمام پروازها به ایران، اردن و عراق را لغو کرد,🔴 فرودگاه استانبول در اقدامی عجیب تمام پروازها به ایران، اردن و عراق را لغو کرد,رادیو صدای اسراییل🇮🇱,channel1395701502,08:14:00,14/07/25,"👍:157,🔥:16,🤩:7,❤:3,👎:3,😁:3,😱:2",,,
1106553,https://youtu.be/zfJTdFg3Pd4?si=foi_DEDFfS4-N35w,https://youtu.be/zfJTdFg 3 Pd 4 ؟si=foi_DEDFfS 4 -N 35 w,رادیو صدای اسراییل🇮🇱,channel1395701502,08:40:02,14/07/25,"🤩:101,❤:23,👍:23,👎:5,🤔:3,😁:2",https://youtu.be/zfJTdFg3Pd4?si=foi_DEDFfS4-N35w,,
1106568,"اهدای جام باشگاه‌های جهان توسط دونالد ترامپ به تیم چلسی

دونالد ترامپ، رییس‌جمهوری آمریکا، شامگاه یکشنبه پس از پایان فینال جام جهانی باشگاه‌ها در ورزشگاه مت‌لایف نیوجرسی، به علیرضا فغانی، داور ایرانی این دیدار، مدال اهدا کرد.
 
فغانی قضاوت بازی حساس بین چلسی و پاری‌سن‌ژرمن را برعهده داشت. ترامپ در کنار جیانی اینفانتینو، رییس فیفا، با تیم داوری عکس یادگاری گرفت.
در این دیدار، کول پالمر در دقایق ۲۳ و ۳۰ دو گل به ثمر رساند و در دقیقه ۴۳ نیز پاس گل سوم را برای ژائو پدرو فرستاد تا نتیجه سه بر صفر روی تابلوی ورزشگاه به نفع چلسی ثبت شود.
                   

 https://www.instagram.com/reel/DMEoWzWIyLH/?igsh=YWd3NzliZmwzNWlm","اهدای جام باشگاه‌های جهان توسط دونالد ترامپ به تیم چلسی
دونالد ترامپ، رییس‌جمهوری آمریکا، شامگاه یکشنبه پس از پایان فینال جام جهانی باشگاه‌ها در ورزشگاه مت‌لایف نیوجرسی، به علیرضا فغانی، داور ایرانی این دیدار، مدال اهدا کرد.
 
فغانی قضاوت بازی حساس بین چلسی و پاری‌سن‌ژرمن را برعهده داشت. ترامپ در کنار جیانی اینفانتینو، رییس فیفا، با تیم داوری عکس یادگاری گرفت.
در این دیدار، کول پالمر در دقایق  ۲۳  و  ۳۰  دو گل به ثمر رساند و در دقیقه  ۴۳  نیز پاس گل سوم را برای ژائو پدرو فرستاد تا نتیجه سه بر صفر روی تابلوی ورزشگاه به نفع چلسی ثبت شود.
                   
 https://www.instagram.com/reel/DMEoWzWIyLH/؟igsh=YWd 3 NzliZmwzNWlm",رادیو صدای اسراییل🇮🇱,channel1395701502,13:17:40,14/07/25,"❤:182,👍:23,👎:4",https://www.instagram.com/reel/DMEoWzWIyLH/?igsh=YWd3NzliZmwzNWlm,,
1106569,"حتی پس از گذشت بیش از یک سال و نه ماه، یادآوری این صداهای ضبط شده از غزه‌ای‌های «بی‌طرف» و به اصطلاح مظلوم از هفتم اکتبر به همه کسانی که برای غزه و ساکنانش اندوهگین و دلسوز بودند، خالی از لطف نیست!

فراموش نمی کنیم که مردم بی گناه و مظلوم غزه  با ما در ۷ اکتبر چه کردند!! دزیدن تجاوز کردند سوزاندن و به قتل رساندند. 
همان هایی که در ۷ اکتبر شیرینی و شربت پخش کردند و امروز گریه می کنند هر عملی تاوانی دارد

فراموش نکنیم این جنگ چگونه آغاز شد!!!!
                   

 https://www.instagram.com/reel/DME0lSuIOtD/?igsh=dGltYTd5aHdmcjFi","حتی پس از گذشت بیش از یک سال و نه ماه، یادآوری این صداهای ضبط شده از غزه‌ای‌های «بی‌طرف» و به اصطلاح مظلوم از هفتم اکتبر به همه کسانی که برای غزه و ساکنانش اندوهگین و دلسوز بودند، خالی از لطف نیست!
فراموش نمی کنیم که مردم بی گناه و مظلوم غزه  با ما در  ۷  اکتبر چه کردند!! دزیدن تجاوز کردند سوزاندن و به قتل رساندند. 
همان هایی که در  ۷  اکتبر شیرینی و شربت پخش کردند و امروز گریه می کنند هر عملی تاوانی دارد
فراموش نکنیم این جنگ چگونه آغاز شد!!!!
                   
 https://www.instagram.com/reel/DME 0 lSuIOtD/؟igsh=dGltYTd 5 aHdmcjFi",رادیو صدای اسراییل🇮🇱,channel1395701502,13:18:39,14/07/25,"👍:211,😢:78,❤:18,🤬:11,😁:3,🤔:2,👎:1",https://www.instagram.com/reel/DME0lSuIOtD/?igsh=dGltYTd5aHdmcjFi,,
1106572,https://youtu.be/lhHPPd12JyE,https://youtu.be/lhHPPd 12 JyE,رادیو صدای اسراییل🇮🇱,channel1395701502,14:10:07,14/07/25,"❤:137,👍:32,👌:10,🤬:4,👎:1",https://youtu.be/lhHPPd12JyE,,
1106588,"لطفاً تنها صفحات فارسی رسمی ارتش دفاعی اسرائیل را دنبال کنید.
هر فردی که از طریق حساب‌هایی که خود را به‌جای ارتش اسرائیل معرفی می‌کنند با شما تماس می‌گیرد، ممکن است خطرناک باشد!
https://linktr.ee/idfinfarsi","لطفاً تنها صفحات فارسی رسمی ارتش دفاعی اسرائیل را دنبال کنید.
هر فردی که از طریق حساب‌هایی که خود را به‌جای ارتش اسرائیل معرفی می‌کنند با شما تماس می‌گیرد، ممکن است خطرناک باشد!
",رادیو صدای اسراییل🇮🇱,channel1395701502,16:50:06,14/07/25,"❤:140,👍:39,😁:2,👌:2,👎:1,👏:1,🤬:1",https://linktr.ee/idfinfarsi,,
1106590,https://youtu.be/q9Q48B2pZiY,https://youtu.be/q 9 Q 48 B 2 pZiY,رادیو صدای اسراییل🇮🇱,channel1395701502,17:05:05,14/07/25,"❤:118,👍:33,🥰:5,👎:1,🤬:1,🤩:1",https://youtu.be/q9Q48B2pZiY,,
1106602,"بی‌بی‌سی اعتراف کرد: فیلمی را که توسط پسر یکی از تروریست‌های حماس روایت می‌شد، پخش کردیم
این فیلم که توسط شرکت مستقل HOYO Films تهیه شده است، در ماه فوریه در پلتفرم‌های پخش بی‌بی‌سی پخش و بعداً حذف شد.
تحقیقات  نشان داد که سه نفر از اعضای HOYO Films در زمان پخش اولیه از نقش پدر در حمای مطلع بودند. HOYO Films در پاسخ گفت که «یافته‌ها را بسیار جدی می‌گیرد» و به خاطر این اشتباه عذرخواهی کرد.
 بی‌بی‌سی پس از تحقیقاتی که نشان داد این برنامه با عدم افشای این موضوع به بینندگان که پدر راوی ۱۳ ساله در فیلم، تروریستی از سازمان تروریستی و قاتل حماس است، دستورالعمل‌های ویرایشی را نقض کرده است، به یک خطای ویرایشی قابل توجه در مستند خود با عنوان «غزه: چگونه در یک منطقه جنگی زنده بمانیم» اعتراف کرد.
                    https://www.instagram.com/reel/DMGE29htncN/?igsh=MW9jbG1ydzJta251Yg==","بی‌بی‌سی اعتراف کرد: فیلمی را که توسط پسر یکی از تروریست‌های حماس روایت می‌شد، پخش کردیم
این فیلم که توسط شرکت مستقل HOYO Films تهیه شده است، در ماه فوریه در پلتفرم‌های پخش بی‌بی‌سی پخش و بعداً حذف شد.
تحقیقات  نشان داد که سه نفر از اعضای HOYO Films در زمان پخش اولیه از نقش پدر در حمای مطلع بودند. HOYO Films در پاسخ گفت که «یافته‌ها را بسیار جدی می‌گیرد» و به خاطر این اشتباه عذرخواهی کرد.
 بی‌بی‌سی پس از تحقیقاتی که نشان داد این برنامه با عدم افشای این موضوع به بینندگان که پدر راوی  ۱۳  ساله در فیلم، تروریستی از سازمان تروریستی و قاتل حماس است، دستورالعمل‌های ویرایشی را نقض کرده است، به یک خطای ویرایشی قابل توجه در مستند خود با عنوان «غزه: چگونه در یک منطقه جنگی زنده بمانیم» اعتراف کرد.
                    https://www.instagram.com/reel/DMGE 29 htncN/؟igsh=MW 9 jbG 1 ydzJta 251 Yg==",رادیو صدای اسراییل🇮🇱,channel1395701502,20:27:42,14/07/25,"👍:96,❤:16,🤬:15",https://www.instagram.com/reel/DMGE29htncN/?igsh=MW9jbG1ydzJta251Yg==,,
